what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1481712255540
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712264942
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1481712267563
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712267601
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1481712294908
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712302947
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712306940
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712306944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712312301
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712317425
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1481712318924
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1481712318925
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1481712318959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712319046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712326398
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712333813
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1481712333989
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1481712334045
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1481712341547
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712347982
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712348103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712348107
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1481712360924
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712360963
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1481712473832
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1481712473855
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1481712474089
error,log,,,"Unhandled event loop exception",1481712474264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712474294
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712475747
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712482631
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712482784
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712482788
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1481712485829
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712485869
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712503739
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712698922
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712703145
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712705398
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712715239
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712717300
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712717421
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481712719194
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1481712719503
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1481712719665
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1481712719690
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1481712719697
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1481712719707
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1481712719734
